date,equity,positions,returns,cummax,drawdown
2025-01-02,30000.0,0,,30000.0,0.0
2025-01-03,30000.0,0,0.0,30000.0,0.0
2025-01-06,30000.0,0,0.0,30000.0,0.0
2025-01-07,30000.0,0,0.0,30000.0,0.0
2025-01-08,30000.0,0,0.0,30000.0,0.0
2025-01-10,30000.0,0,0.0,30000.0,0.0
2025-01-13,30000.0,0,0.0,30000.0,0.0
2025-01-14,30000.0,0,0.0,30000.0,0.0
2025-01-15,30000.0,0,0.0,30000.0,0.0
2025-01-16,30000.0,0,0.0,30000.0,0.0
2025-01-17,30000.0,0,0.0,30000.0,0.0
2025-01-21,30000.0,0,0.0,30000.0,0.0
2025-01-22,30000.0,0,0.0,30000.0,0.0
2025-01-23,30000.0,0,0.0,30000.0,0.0
2025-01-24,30000.0,0,0.0,30000.0,0.0
2025-01-27,30000.0,0,0.0,30000.0,0.0
2025-01-28,30000.0,0,0.0,30000.0,0.0
2025-01-29,30000.0,0,0.0,30000.0,0.0
2025-01-30,30000.0,0,0.0,30000.0,0.0
2025-01-31,30000.0,0,0.0,30000.0,0.0
2025-02-03,30000.0,0,0.0,30000.0,0.0
2025-02-04,30000.0,0,0.0,30000.0,0.0
2025-02-05,30000.0,0,0.0,30000.0,0.0
2025-02-06,30000.0,0,0.0,30000.0,0.0
2025-02-07,30000.0,0,0.0,30000.0,0.0
2025-02-10,30000.0,0,0.0,30000.0,0.0
2025-02-11,30000.0,0,0.0,30000.0,0.0
2025-02-12,30000.0,0,0.0,30000.0,0.0
2025-02-13,30000.0,0,0.0,30000.0,0.0
2025-02-14,30000.0,0,0.0,30000.0,0.0
2025-02-18,30000.0,0,0.0,30000.0,0.0
2025-02-19,30000.0,0,0.0,30000.0,0.0
2025-02-20,30000.0,0,0.0,30000.0,0.0
2025-02-21,30000.0,0,0.0,30000.0,0.0
2025-02-24,30000.0,0,0.0,30000.0,0.0
2025-02-25,30000.0,0,0.0,30000.0,0.0
2025-02-26,30000.0,0,0.0,30000.0,0.0
2025-02-27,30000.0,0,0.0,30000.0,0.0
2025-02-28,30000.0,0,0.0,30000.0,0.0
2025-03-03,30000.0,0,0.0,30000.0,0.0
2025-03-04,30000.0,0,0.0,30000.0,0.0
2025-03-05,30000.0,0,0.0,30000.0,0.0
2025-03-06,30000.0,0,0.0,30000.0,0.0
2025-03-07,30000.0,0,0.0,30000.0,0.0
2025-03-10,30000.0,0,0.0,30000.0,0.0
2025-03-11,30000.0,0,0.0,30000.0,0.0
2025-03-12,30000.0,0,0.0,30000.0,0.0
2025-03-13,30000.0,0,0.0,30000.0,0.0
2025-03-14,30000.0,0,0.0,30000.0,0.0
2025-03-17,30000.0,0,0.0,30000.0,0.0
2025-03-18,30000.0,0,0.0,30000.0,0.0
