symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason,days_held,signal_type,quality
SMCI,2020-01-03,2020-01-08,2.3440001010894775,2.306999921798706,42.662114201070466,-157.85058743629753,-1.5785058743629752,Stop Loss,5,trend,1
TSLA,2020-01-08,2020-01-09,32.80933380126953,32.089332580566406,3.023857407887375,-217.71810249110973,-2.1945011900097318,Stop Loss,1,breakout,3
SMCI,2020-01-08,2020-01-10,2.306999921798706,2.6089999675750732,43.00422645245109,1298.7278357217492,13.090596272795096,Take Profit,2,trend,1
MDB,2020-01-08,2020-01-13,140.27000427246094,152.91000366210938,0.7072841237682664,894.0070892738918,9.011191990196608,Take Profit,5,trend,1
ZS,2020-01-09,2020-01-13,54.0,59.619998931884766,1.8170769731548697,1021.197064828277,10.407405429416233,Take Profit,4,breakout,3
SMCI,2020-01-10,2020-01-13,2.6089999675750732,2.8510000705718994,40.09804408936292,970.3730799597104,9.27558857816899,Take Profit,3,breakout,2
DDOG,2020-01-09,2020-01-14,40.209999084472656,39.27000045776367,2.4402426954606287,-229.38247825696214,-2.3377235715281843,Stop Loss,5,trend,1
SMCI,2020-01-13,2020-01-14,2.8510000705718994,2.7720000743865967,41.75506101457283,-329.86496608683365,-2.770957356358663,Stop Loss,1,breakout,3
CRWD,2020-01-09,2020-01-16,55.939998626708984,62.2400016784668,1.7540607608008374,1105.0588146013906,11.262072231710473,Take Profit,7,trend,3
TSLA,2020-01-13,2020-01-16,34.990665435791016,34.232666015625,3.4021554153558484,-257.88318321544034,-2.1662903826649673,Stop Loss,3,breakout,3
NET,2020-01-15,2020-01-21,18.850000381469727,18.0,6.166973067641837,-524.1929460009092,-4.5092857520857645,Stop Loss,6,trend,3
RIOT,2020-01-14,2020-01-22,1.4199999570846558,1.340000033378601,81.86440013436695,-654.9145764991289,-5.633797614353404,Stop Loss,8,trend,3
DDOG,2020-01-14,2020-01-23,39.27000045776367,42.810001373291016,2.960209913992503,1047.914580568658,9.014517123152938,Take Profit,9,trend,1
ZS,2020-01-13,2020-01-24,59.619998931884766,57.79999923706055,1.9967072128814911,-363.400651809763,-3.0526664331268263,Stop Loss,11,breakout,3
NET,2020-01-21,2020-01-29,18.0,17.59000015258789,6.547908783582631,-268.4641602137289,-2.2777769300672746,Stop Loss,8,trend,1
DDOG,2020-01-27,2020-01-30,41.255001068115234,47.040000915527344,2.860510285066818,1654.8051562632309,14.022541989177558,Take Profit,3,trend,1
